itemLabel,occupationLabel
Quintus Mamilius Vitulus,militaire
Constance Chlore,personnalité politique
Plotin,philosophe
Flavius Josèphe,écrivain
Flavius Josèphe,historien
Marcus Fulvius Paetinus,homme politique de la Rome antique
Marcus Fulvius Paetinus,militaire
Alexis de Rome,anachorète
Caius Iulius Iullus,homme politique de la Rome antique
Caius Iulius Iullus,militaire
Lucius Tarutius Firmanus,astronome
Lucius Tarutius Firmanus,astrologue
Lucius Tarutius Firmanus,mathématicien
Lucius Tarutius Firmanus,philosophe
Cnaeus Pinarius Cornelius Severus,prêtre
Cnaeus Pinarius Cornelius Severus,personnalité politique
Aulus Terentius Varro,homme politique de la Rome antique
Aulus Terentius Varro,militaire
Eusèbe de Césarée,écrivain
Eusèbe de Césarée,prêtre
Eusèbe de Césarée,historien
Eusèbe de Césarée,théologien
Eusèbe de Césarée,historien de l'Église
Eusèbe de Césarée,clerc
Servius Sulpicius Camerinus Cornutus,prêtre romain
Servius Sulpicius Camerinus Cornutus,homme politique de la Rome antique
Servius Sulpicius Camerinus Cornutus,militaire
Cnaeus Fulvius Maximus Centumalus,homme politique de la Rome antique
Cnaeus Fulvius Maximus Centumalus,militaire
Caecilia Pomponia Attica,
Marcus Ambibulus,personnalité politique
Coponius,homme politique de la Rome antique
Annius Rufus,homme politique de la Rome antique
Valerius Gratus,militaire
Valerius Gratus,personnalité politique
Lucius Scribonius Libo,militaire
Lucius Scribonius Libo,personnalité politique
Agrippine la Jeune,personnalité politique
Caius Aquillius Florus,homme politique de la Rome antique
Caius Aquillius Florus,militaire
Caius Claudius Centho,homme politique de la Rome antique
Caius Claudius Centho,militaire
Publius Decius Mus,homme politique de la Rome antique
Publius Decius Mus,militaire
Nero Claudius Drusus,militaire
Nero Claudius Drusus,personnalité politique
Flavius Honorius,personnalité politique
Eusèbe,prêtre catholique
Célestin Ier,pape
Célestin Ier,écrivain
Célestin Ier,prêtre catholique
Célestin Ier,clerc
Fausta Cornelia,
Pélage,missionnaire
Pélage,théologien
Pélage,moine chrétien
Pélage,philosophe
Catulle,écrivain
Catulle,poète
Fabiole,médecin
Fabiole,infirmier
Ménas,
Flavius Severianus,
Prisca,
Publius Manlius Vulso,homme politique de la Rome antique
Caius Cassius Longinus,écrivain
Caius Cassius Longinus,personnalité politique
Caius Cassius Longinus,conseiller juridique
Drusus Julius Caesar,personnalité politique
Caius Genucius Clepsina,homme politique de la Rome antique
Caius Genucius Clepsina,militaire
Marcus Fulvius Nobilior,homme politique de la Rome antique
Marcus Fulvius Nobilior,militaire
Gorgon,militaire
Lucius Verginius Rufus,militaire
Lucius Verginius Rufus,personnalité politique
Lucius Verginius Rufus,officier
Faustus Cornelius Sulla Felix,militaire
Faustus Cornelius Sulla Felix,personnalité politique
Isaac of Dalmatia,moine
Caius Norbanus,homme politique de la Rome antique
Caius Norbanus,militaire
Marcus Valerius Messalla Appianus,militaire
Marcus Valerius Messalla Appianus,personnalité politique
