item,occupationLabel
http://www.wikidata.org/entity/Q5959,écrivain
http://www.wikidata.org/entity/Q5959,personnalité politique
http://www.wikidata.org/entity/Q5959,historien
http://www.wikidata.org/entity/Q6184,écrivain
http://www.wikidata.org/entity/Q6184,poète
http://www.wikidata.org/entity/Q6197,écrivain
http://www.wikidata.org/entity/Q6197,poète
http://www.wikidata.org/entity/Q6197,philosophe
http://www.wikidata.org/entity/Q7170,écrivain
http://www.wikidata.org/entity/Q7170,poète
http://www.wikidata.org/entity/Q7170,homme politique de la Rome antique
http://www.wikidata.org/entity/Q7170,militaire
http://www.wikidata.org/entity/Q7170,historien romain de l'antiquité
http://www.wikidata.org/entity/Q7198,poète
http://www.wikidata.org/entity/Q8018,écrivain
http://www.wikidata.org/entity/Q8018,poète
http://www.wikidata.org/entity/Q8018,historien
http://www.wikidata.org/entity/Q8018,prédicateur
http://www.wikidata.org/entity/Q8018,presbytre
http://www.wikidata.org/entity/Q8018,théologien
http://www.wikidata.org/entity/Q8018,philosophe
http://www.wikidata.org/entity/Q8018,théoricien de la musique
http://www.wikidata.org/entity/Q8018,autobiographe
http://www.wikidata.org/entity/Q8413,militaire
http://www.wikidata.org/entity/Q8413,personnalité politique
http://www.wikidata.org/entity/Q8413,souverain
http://www.wikidata.org/entity/Q8778,médecin écrivain
http://www.wikidata.org/entity/Q8778,chirurgien
http://www.wikidata.org/entity/Q8778,biologiste
http://www.wikidata.org/entity/Q8778,neurobiologiste
http://www.wikidata.org/entity/Q8797,écrivain
http://www.wikidata.org/entity/Q8797,poète
http://www.wikidata.org/entity/Q8800,poète
http://www.wikidata.org/entity/Q8800,bibliothécaire
http://www.wikidata.org/entity/Q8808,critique littéraire
http://www.wikidata.org/entity/Q8809,écrivain
http://www.wikidata.org/entity/Q8809,poète
http://www.wikidata.org/entity/Q8817,écrivain
http://www.wikidata.org/entity/Q8817,poète
http://www.wikidata.org/entity/Q8817,personnalité politique
http://www.wikidata.org/entity/Q8820,écrivain
http://www.wikidata.org/entity/Q8820,poète
http://www.wikidata.org/entity/Q8820,dramaturge
http://www.wikidata.org/entity/Q8824,poète
http://www.wikidata.org/entity/Q8825,écrivain
http://www.wikidata.org/entity/Q8825,militaire
http://www.wikidata.org/entity/Q8825,poète
http://www.wikidata.org/entity/Q8825,personnalité politique
http://www.wikidata.org/entity/Q8825,orateur
http://www.wikidata.org/entity/Q8825,élégiste
http://www.wikidata.org/entity/Q8825,épigrammatiste
http://www.wikidata.org/entity/Q8827,écrivain
http://www.wikidata.org/entity/Q8827,poète
http://www.wikidata.org/entity/Q8827,élégiste
http://www.wikidata.org/entity/Q8833,poète
http://www.wikidata.org/entity/Q8833,mécène
http://www.wikidata.org/entity/Q8833,homme politique de la Rome antique
http://www.wikidata.org/entity/Q9200,écrivain
http://www.wikidata.org/entity/Q9200,rabbin
http://www.wikidata.org/entity/Q9200,missionnaire
http://www.wikidata.org/entity/Q9200,théologien
http://www.wikidata.org/entity/Q9200,religieux
http://www.wikidata.org/entity/Q10133,écrivain
http://www.wikidata.org/entity/Q10133,poète
http://www.wikidata.org/entity/Q10133,secrétaire
http://www.wikidata.org/entity/Q10133,historien
http://www.wikidata.org/entity/Q10133,biographe
http://www.wikidata.org/entity/Q10133,antiquaire
http://www.wikidata.org/entity/Q11903,astronome
http://www.wikidata.org/entity/Q11903,écrivain
http://www.wikidata.org/entity/Q11903,mathématicien
http://www.wikidata.org/entity/Q11903,inventeur
http://www.wikidata.org/entity/Q11903,philosophe
http://www.wikidata.org/entity/Q16442,prêtre
http://www.wikidata.org/entity/Q17131,personnalité politique
http://www.wikidata.org/entity/Q17131,haut fonctionnaire
http://www.wikidata.org/entity/Q17590,diacre catholique
http://www.wikidata.org/entity/Q18874,personnalité politique
http://www.wikidata.org/entity/Q18999,enseignant
http://www.wikidata.org/entity/Q18999,militaire
http://www.wikidata.org/entity/Q18999,personnalité politique
http://www.wikidata.org/entity/Q18999,philosophe
http://www.wikidata.org/entity/Q24548,écrivain
http://www.wikidata.org/entity/Q24548,grammaticus
http://www.wikidata.org/entity/Q24548,philologue
http://www.wikidata.org/entity/Q26471,militaire
http://www.wikidata.org/entity/Q26471,personnalité politique
http://www.wikidata.org/entity/Q31845,écrivain
http://www.wikidata.org/entity/Q31845,militaire
http://www.wikidata.org/entity/Q31845,personnalité politique
http://www.wikidata.org/entity/Q31845,historien
http://www.wikidata.org/entity/Q31845,philosophe
http://www.wikidata.org/entity/Q109598,élégiste
http://www.wikidata.org/entity/Q110659,médecin
http://www.wikidata.org/entity/Q110659,homme politique de la Rome antique
http://www.wikidata.org/entity/Q113856,militaire
http://www.wikidata.org/entity/Q113856,personnalité politique
http://www.wikidata.org/entity/Q113856,officier
http://www.wikidata.org/entity/Q114072,personnalité politique
http://www.wikidata.org/entity/Q114845,prostitué
http://www.wikidata.org/entity/Q116463,homme politique de la Rome antique
http://www.wikidata.org/entity/Q117841,écrivain
http://www.wikidata.org/entity/Q117841,poète
http://www.wikidata.org/entity/Q117841,chef cuisinier
http://www.wikidata.org/entity/Q118422,militaire
http://www.wikidata.org/entity/Q118422,personnalité politique
http://www.wikidata.org/entity/Q120015,militaire
http://www.wikidata.org/entity/Q120015,personnalité politique
http://www.wikidata.org/entity/Q120015,préfet du prétoire
http://www.wikidata.org/entity/Q120122,homme politique de la Rome antique
http://www.wikidata.org/entity/Q120122,militaire
http://www.wikidata.org/entity/Q122321,homme politique de la Rome antique
http://www.wikidata.org/entity/Q122321,militaire
http://www.wikidata.org/entity/Q122437,centurion
http://www.wikidata.org/entity/Q125414,homme politique de la Rome antique
http://www.wikidata.org/entity/Q125414,militaire
http://www.wikidata.org/entity/Q125545,militaire
http://www.wikidata.org/entity/Q125545,personnalité politique
http://www.wikidata.org/entity/Q126117,homme politique de la Rome antique
http://www.wikidata.org/entity/Q126117,militaire
http://www.wikidata.org/entity/Q131195,personnalité politique
http://www.wikidata.org/entity/Q134189,philosophe
http://www.wikidata.org/entity/Q134461,écrivain
http://www.wikidata.org/entity/Q134461,historien
http://www.wikidata.org/entity/Q135279,homme politique de la Rome antique
http://www.wikidata.org/entity/Q135279,militaire
http://www.wikidata.org/entity/Q137947,anachorète
http://www.wikidata.org/entity/Q138217,homme politique de la Rome antique
http://www.wikidata.org/entity/Q138217,militaire
http://www.wikidata.org/entity/Q138724,astronome
http://www.wikidata.org/entity/Q138724,astrologue
http://www.wikidata.org/entity/Q138724,mathématicien
http://www.wikidata.org/entity/Q138724,philosophe
http://www.wikidata.org/entity/Q140220,prêtre
http://www.wikidata.org/entity/Q140220,personnalité politique
http://www.wikidata.org/entity/Q141723,homme politique de la Rome antique
http://www.wikidata.org/entity/Q141723,militaire
http://www.wikidata.org/entity/Q142999,écrivain
http://www.wikidata.org/entity/Q142999,prêtre
http://www.wikidata.org/entity/Q142999,historien
http://www.wikidata.org/entity/Q142999,théologien
http://www.wikidata.org/entity/Q142999,historien de l'Église
http://www.wikidata.org/entity/Q142999,clerc
http://www.wikidata.org/entity/Q145194,prêtre romain
http://www.wikidata.org/entity/Q145194,homme politique de la Rome antique
http://www.wikidata.org/entity/Q145194,militaire
http://www.wikidata.org/entity/Q151478,homme politique de la Rome antique
http://www.wikidata.org/entity/Q151478,militaire
http://www.wikidata.org/entity/Q152626,
http://www.wikidata.org/entity/Q153035,personnalité politique
http://www.wikidata.org/entity/Q153037,homme politique de la Rome antique
http://www.wikidata.org/entity/Q153055,homme politique de la Rome antique
http://www.wikidata.org/entity/Q153063,militaire
http://www.wikidata.org/entity/Q153063,personnalité politique
http://www.wikidata.org/entity/Q153600,militaire
