item,positionLabel
http://www.wikidata.org/entity/Q212876,sénateur romain
http://www.wikidata.org/entity/Q214765,consul
http://www.wikidata.org/entity/Q214765,gouverneur romain
http://www.wikidata.org/entity/Q214765,sénateur romain
http://www.wikidata.org/entity/Q218251,
http://www.wikidata.org/entity/Q218431,
http://www.wikidata.org/entity/Q218794,sénateur romain
http://www.wikidata.org/entity/Q220017,évêque
http://www.wikidata.org/entity/Q220978,consul
http://www.wikidata.org/entity/Q220978,censeur
http://www.wikidata.org/entity/Q220978,sénateur romain
http://www.wikidata.org/entity/Q221223,
http://www.wikidata.org/entity/Q221465,évêque
http://www.wikidata.org/entity/Q222890,antipape
http://www.wikidata.org/entity/Q223440,consul
http://www.wikidata.org/entity/Q223440,sénateur romain
http://www.wikidata.org/entity/Q223615,
http://www.wikidata.org/entity/Q229246,impératrice romaine
http://www.wikidata.org/entity/Q229413,
http://www.wikidata.org/entity/Q229432,
http://www.wikidata.org/entity/Q229483,
http://www.wikidata.org/entity/Q229836,
http://www.wikidata.org/entity/Q229871,impératrice consort
http://www.wikidata.org/entity/Q230716,
http://www.wikidata.org/entity/Q231063,impératrice romaine
http://www.wikidata.org/entity/Q231258,empereur
http://www.wikidata.org/entity/Q231262,
http://www.wikidata.org/entity/Q231696,
http://www.wikidata.org/entity/Q232090,
http://www.wikidata.org/entity/Q232094,empereur
http://www.wikidata.org/entity/Q232229,
http://www.wikidata.org/entity/Q232271,empereur
http://www.wikidata.org/entity/Q232329,
http://www.wikidata.org/entity/Q232380,empereur romain
http://www.wikidata.org/entity/Q232716,impératrice consort
http://www.wikidata.org/entity/Q232725,
http://www.wikidata.org/entity/Q233077,Matrone
http://www.wikidata.org/entity/Q233444,
http://www.wikidata.org/entity/Q233578,
http://www.wikidata.org/entity/Q233704,
http://www.wikidata.org/entity/Q234533,
http://www.wikidata.org/entity/Q234562,impératrice romaine
http://www.wikidata.org/entity/Q234593,consul
http://www.wikidata.org/entity/Q234593,sénateur romain
http://www.wikidata.org/entity/Q234665,
http://www.wikidata.org/entity/Q234734,
http://www.wikidata.org/entity/Q234825,
http://www.wikidata.org/entity/Q235087,
http://www.wikidata.org/entity/Q235090,empereur
http://www.wikidata.org/entity/Q235423,
http://www.wikidata.org/entity/Q235586,
http://www.wikidata.org/entity/Q235603,
http://www.wikidata.org/entity/Q235627,
http://www.wikidata.org/entity/Q236259,
http://www.wikidata.org/entity/Q236459,
http://www.wikidata.org/entity/Q236466,
http://www.wikidata.org/entity/Q236594,
http://www.wikidata.org/entity/Q236936,
http://www.wikidata.org/entity/Q236999,empereur
http://www.wikidata.org/entity/Q237583,
http://www.wikidata.org/entity/Q237618,
http://www.wikidata.org/entity/Q237622,empereur
http://www.wikidata.org/entity/Q237629,
http://www.wikidata.org/entity/Q237861,empereur
http://www.wikidata.org/entity/Q237882,
http://www.wikidata.org/entity/Q237907,impératrice romaine
http://www.wikidata.org/entity/Q237960,consul
http://www.wikidata.org/entity/Q237960,gouverneur romain
