item,epouse
http://www.wikidata.org/entity/Q297783,t2256264872
http://www.wikidata.org/entity/Q297783,t2256264873
http://www.wikidata.org/entity/Q297783,t2256264875
http://www.wikidata.org/entity/Q297783,t2256264880
http://www.wikidata.org/entity/Q297783,t2256264881
http://www.wikidata.org/entity/Q298162,http://www.wikidata.org/entity/Q234665
http://www.wikidata.org/entity/Q298168,http://www.wikidata.org/entity/Q12289911
http://www.wikidata.org/entity/Q302936,http://www.wikidata.org/entity/Q2057293
http://www.wikidata.org/entity/Q304970,t2256429991
http://www.wikidata.org/entity/Q309637,t2255316383
http://www.wikidata.org/entity/Q311265,t571642658
http://www.wikidata.org/entity/Q311646,http://www.wikidata.org/entity/Q63970512
http://www.wikidata.org/entity/Q311733,http://www.wikidata.org/entity/Q2292963
http://www.wikidata.org/entity/Q311879,http://www.wikidata.org/entity/Q441955
http://www.wikidata.org/entity/Q312306,t2225090381
http://www.wikidata.org/entity/Q313066,http://www.wikidata.org/entity/Q12282692
http://www.wikidata.org/entity/Q313398,http://www.wikidata.org/entity/Q4882584
http://www.wikidata.org/entity/Q313500,t2256410323
http://www.wikidata.org/entity/Q313664,http://www.wikidata.org/entity/Q233077
http://www.wikidata.org/entity/Q313680,http://www.wikidata.org/entity/Q12284966
http://www.wikidata.org/entity/Q313737,http://www.wikidata.org/entity/Q234665
http://www.wikidata.org/entity/Q314710,http://www.wikidata.org/entity/Q232725
http://www.wikidata.org/entity/Q315274,t2255330472
http://www.wikidata.org/entity/Q315456,http://www.wikidata.org/entity/Q11002436
http://www.wikidata.org/entity/Q315492,http://www.wikidata.org/entity/Q2259
http://www.wikidata.org/entity/Q316054,http://www.wikidata.org/entity/Q11942281
http://www.wikidata.org/entity/Q316475,t2255320252
http://www.wikidata.org/entity/Q316475,t2255320253
http://www.wikidata.org/entity/Q316775,http://www.wikidata.org/entity/Q255448
http://www.wikidata.org/entity/Q316825,http://www.wikidata.org/entity/Q10996733
http://www.wikidata.org/entity/Q316915,http://www.wikidata.org/entity/Q255778
http://www.wikidata.org/entity/Q316915,http://www.wikidata.org/entity/Q5309410
http://www.wikidata.org/entity/Q318718,http://www.wikidata.org/entity/Q1893524
http://www.wikidata.org/entity/Q318726,t2256411405
http://www.wikidata.org/entity/Q318879,t2256285938
http://www.wikidata.org/entity/Q319252,http://www.wikidata.org/entity/Q464452
http://www.wikidata.org/entity/Q319273,http://www.wikidata.org/entity/Q106225611
http://www.wikidata.org/entity/Q319561,t2255329243
http://www.wikidata.org/entity/Q320902,http://www.wikidata.org/entity/Q270591
http://www.wikidata.org/entity/Q320902,http://www.wikidata.org/entity/Q12285131
http://www.wikidata.org/entity/Q324602,t2256306848
http://www.wikidata.org/entity/Q324608,t2256319846
http://www.wikidata.org/entity/Q329274,t2256455343
