itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pereLabel,mereLabel
Auguste,Caius,Julius,Caesar,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caesar,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caepias,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caepias,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Thurinus,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Thurinus,Julii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caesar,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caesar,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Caepias,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Caepias,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Julius,Thurinus,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Auguste,Caius,Octavius,Thurinus,Octavii,masculin,-0062-09-21T00:00:00Z,Rome,0014-08-17T00:00:00Z,Nola,Caius Octavius,Atia Balba Caesonia
Tibère,Tiberius,Julius,Caesar,Claudii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Claudius,Caesar,Claudii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Julius,Nero,Claudii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Claudius,Nero,Claudii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Julius,Caesar,Julii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Claudius,Caesar,Julii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Julius,Nero,Julii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Claudius,Nero,Julii,masculin,-0041-11-14T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Julius,Caesar,Claudii,masculin,-0041-11-15T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
Tibère,Tiberius,Claudius,Caesar,Claudii,masculin,-0041-11-15T00:00:00Z,Rome,0037-03-14T00:00:00Z,Misène,Auguste,Livie
